,Neighbourhood,Detailsـtransaction,Date,Total_price,Area,Price_per_meter
1614,الروضة,عدد العقارات 11-أول…,"Wednesday, 19 January 2022 ",3826875.0,5102.50,750.00
1615,الروضة,عدد العقارات 11-أول…,"Monday, 31 January 2022 ",5357625.0,5102.50,1050.00
1616,الروضة,عدد العقارات 12-أول…,"Wednesday, 5 January 2022 ",3906000.0,5208.00,750.00
1617,الروضة,عدد العقارات 12-أول…,"Wednesday, 5 January 2022 ",3906000.0,5208.00,750.00
1618,الروضة,عدد العقارات 12-أول…,"Wednesday, 5 January 2022 ",5728800.0,5208.00,1100.00
1619,الروضة,عدد العقارات 12-أول…,"Monday, 10 January 2022 ",6027161.0,5151.42,1170.00
1620,الروضة,عدد العقارات 14-أول…,"Monday, 10 January 2022 ",6995843.0,6858.67,1020.00
1621,الروضة,عدد العقارات 16-أول…,"Monday, 10 January 2022 ",8056107.0,7005.31,1150.00
1622,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 5 January 2022 ",576000.0,768.00,750.00
1623,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 5 January 2022 ",576000.0,768.00,750.00
1624,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 5 January 2022 ",844800.0,768.00,1100.00
1625,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",907200.0,840.00,1080.00
1626,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",907200.0,840.00,1080.00
1627,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",907200.0,840.00,1080.00
1628,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",907200.0,840.00,1080.00
1629,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",907200.0,840.00,1080.00
1630,الروضة,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",907200.0,840.00,1080.00
1631,الروضة,عدد العقارات 3-أول ق…,"Wednesday, 5 January 2022 ",1771118.0,1736.39,1020.00
1632,الروضة,عدد العقارات 4-أول ق…,"Tuesday, 18 January 2022 ",1260000.0,1680.00,750.00
1633,الروضة,عدد العقارات 4-أول ق…,"Wednesday, 19 January 2022 ",1260000.0,1680.00,750.00
1634,الروضة,عدد العقارات 5-أول ق…,"Tuesday, 18 January 2022 ",1575000.0,2100.00,750.00
1635,الروضة,عدد العقارات 5-أول ق…,"Wednesday, 19 January 2022 ",1575000.0,2100.00,750.00
1636,الروضة,عدد العقارات 5-أول ق…,"Tuesday, 25 January 2022 ",2205000.0,2100.00,1050.00
1637,الروضة,عدد العقارات 8-أول ق…,"Wednesday, 5 January 2022 ",2697000.0,3596.00,750.00
1638,الروضة,عدد العقارات 8-أول ق…,"Wednesday, 5 January 2022 ",2697000.0,3596.00,750.00
1639,الروضة,عدد العقارات 8-أول ق…,"Wednesday, 5 January 2022 ",3955600.0,3596.00,1100.00
1640,الروضة,555,"Thursday, 27 January 2022 ",5000000.0,2465.85,2028.00
1641,الروضة,110,"Sunday, 16 January 2022 ",1350000.0,450.00,3000.00
1642,الروضة,1335/22/7/1,"Tuesday, 11 January 2022 ",1252986.0,304.50,4115.00
1643,الروضة,287,"Monday, 17 January 2022 ",1700000.0,637.25,2668.00
1644,الروضة,554,"Thursday, 13 January 2022 ",1750000.0,660.00,2652.00
1645,الروضة,678,"Saturday, 29 January 2022 ",2070000.0,690.00,3000.00
1646,الريان,عدد العقارات 2-أول ق…,"Monday, 17 January 2022 ",3449000.0,1050.00,3285.00
1647,الريان,279/1,"Sunday, 23 January 2022 ",1312150.0,374.90,3500.00
1648,الريان,279/2,"Sunday, 23 January 2022 ",1312150.0,374.90,3500.00
1649,الريان,عدد العقارات 2-أول ق…,"Wednesday, 12 January 2022 ",4508000.0,1288.00,3500.00
1650,الريان,452,"Sunday, 23 January 2022 ",1500000.0,750.00,2000.00
1651,الريان,146,"Monday, 17 January 2022 ",1200000.0,312.50,3840.00
1652,الريان,1648/1,"Sunday, 16 January 2022 ",1550000.0,460.00,3370.00
1653,الريان,1823/8,"Wednesday, 12 January 2022 ",1072500.0,325.00,3300.00
1654,الزاهر,214,"Thursday, 27 January 2022 ",570000.0,900.00,633.00
1655,الزاهر,378,"Monday, 10 January 2022 ",700000.0,1020.00,686.00
1656,الزاهر,378,"Monday, 31 January 2022 ",800000.0,1020.00,784.00
1657,الزاهر,763,"Tuesday, 11 January 2022 ",500000.0,900.00,556.00
1658,الزاهر,1377,"Thursday, 27 January 2022 ",600000.0,900.00,667.00
1659,الزاهر,1378/1,"Tuesday, 18 January 2022 ",325000.0,450.00,722.00
1660,الزاهر,1378/1,"Tuesday, 25 January 2022 ",400000.0,450.00,889.00
1661,الزاهر,1378/2,"Tuesday, 18 January 2022 ",325000.0,450.00,722.00
1662,الزاهر,1378/2,"Tuesday, 25 January 2022 ",400000.0,450.00,889.00
1663,الزاهر,1378/2,"Thursday, 27 January 2022 ",460000.0,450.00,1022.00
1664,الزاهر,1379,"Thursday, 20 January 2022 ",600000.0,900.00,667.00
1665,الزاهر,1555,"Saturday, 8 January 2022 ",520000.0,900.00,578.00
1666,الزاهر,483,"Monday, 31 January 2022 ",700000.0,840.00,833.00
1667,الزاهر,968,"Sunday, 2 January 2022 ",520000.0,840.00,619.00
1668,الزاهر,378,"Monday, 31 January 2022 ",780000.0,900.00,867.00
1669,الزاهر,1112/1,"Wednesday, 26 January 2022 ",500000.0,500.00,1000.00
1670,الزاهر,1112/2,"Wednesday, 26 January 2022 ",300000.0,400.00,750.00
1671,الزاهر,1116,"Sunday, 9 January 2022 ",650000.0,900.00,722.00
1672,الزاهر,1116,"Wednesday, 26 January 2022 ",750000.0,900.00,833.00
1673,الزاهر,1401/1,"Tuesday, 18 January 2022 ",375000.0,420.00,893.00
1674,الزاهر,1401/2,"Tuesday, 18 January 2022 ",370000.0,420.00,881.00
1675,الزاهر,779,"Wednesday, 19 January 2022 ",490000.0,840.00,583.00
1676,الزاهر,990,"Sunday, 30 January 2022 ",100000.0,1927.00,52.00
1677,الزاهر,1019,"Sunday, 16 January 2022 ",500000.0,840.00,595.00
1678,الزاهر,1130,"Friday, 7 January 2022 ",480000.0,960.00,500.00
1679,الزاهر,1130,"Thursday, 13 January 2022 ",565000.0,960.00,589.00
1680,الزاهر,894,"Saturday, 22 January 2022 ",500000.0,864.00,579.00
1681,الزهرة,1155,"Sunday, 2 January 2022 ",500000.0,500.00,1000.00
1682,الزهرة,1542,"Monday, 31 January 2022 ",640000.0,500.00,1280.00
1683,الزهرة,6999,"Monday, 31 January 2022 ",470000.0,200.00,2350.00
1684,الزهرة,716/1,"Sunday, 16 January 2022 ",1000000.0,250.00,4000.00
1685,الزهرة,716/2,"Tuesday, 4 January 2022 ",375000.0,250.00,1500.00
1686,الزهور,800,"Tuesday, 11 January 2022 ",250000.0,450.00,556.00
1687,الزهور,800,"Tuesday, 18 January 2022 ",300000.0,450.00,667.00
1688,الزهور,221,"Saturday, 15 January 2022 ",610000.0,900.00,678.00
1689,الزهور,221,"Thursday, 27 January 2022 ",730000.0,900.00,811.00
1690,الزهور,457/2,"Tuesday, 18 January 2022 ",350000.0,455.00,769.00
1691,الزهور,119,"Sunday, 23 January 2022 ",550000.0,900.00,611.00
1692,الزهور,166/3,"Thursday, 13 January 2022 ",130000.0,240.00,542.00
1693,الزهور,166/3,"Sunday, 23 January 2022 ",160000.0,240.00,667.00
1694,الزهور,217,"Tuesday, 25 January 2022 ",550000.0,900.00,611.00
1695,الزهور,289,"Monday, 10 January 2022 ",500000.0,900.00,556.00
1696,الزهور,344,"Wednesday, 26 January 2022 ",480000.0,900.00,533.00
1697,الزهور,365,"Sunday, 16 January 2022 ",500000.0,900.00,556.00
1698,الزهور,365,"Wednesday, 26 January 2022 ",550000.0,900.00,611.00
1699,الزهور,485/1/2,"Monday, 3 January 2022 ",140000.0,225.00,622.00
1700,الزهور,485/1/2,"Saturday, 8 January 2022 ",190000.0,225.00,844.00
1701,الزهور,584/1,"Monday, 31 January 2022 ",220000.0,450.00,489.00
1702,الزهور,626/1,"Tuesday, 25 January 2022 ",250000.0,450.00,556.00
1703,الزهور,730/1,"Tuesday, 25 January 2022 ",250000.0,450.00,556.00
1704,السعادة,35/9,"Monday, 31 January 2022 ",1070000.0,287.50,3722.00
1705,السعادة,64/1,"Monday, 24 January 2022 ",881250.0,375.00,2350.00
1706,السعادة,267,"Sunday, 9 January 2022 ",1312500.0,625.00,2100.00
1707,السعادة,136/1,"Monday, 31 January 2022 ",1000000.0,364.50,2743.00
1708,السلام,1191,"Thursday, 27 January 2022 ",600000.0,600.00,1000.00
1709,السلام,1208/1,"Monday, 3 January 2022 ",1325000.0,250.00,5300.00
1710,السلام,1208/2,"Monday, 3 January 2022 ",1325000.0,250.00,5300.00
1711,السلام,234,"Thursday, 13 January 2022 ",4000000.0,960.00,4167.00
1712,السلام,858/1,"Thursday, 27 January 2022 ",1100000.0,429.00,2564.00
1713,السلام,92,"Sunday, 9 January 2022 ",1400000.0,500.00,2800.00
1714,السلام,2/677,"Monday, 24 January 2022 ",988562.0,300.00,3295.00
1715,السلام,عدد العقارات 2-أول ق…,"Monday, 17 January 2022 ",3300000.0,1250.00,2640.00
1716,السلام,359,"Wednesday, 26 January 2022 ",1000000.0,937.50,1067.00
1717,السلام,36,"Wednesday, 26 January 2022 ",1950000.0,750.00,2600.00
1718,السلام بسيهات,489/2,"Sunday, 9 January 2022 ",550000.0,224.80,2447.00
1719,السلى,111/2,"Monday, 10 January 2022 ",4800000.0,2625.00,1829.00
1720,السلى,84,"Monday, 31 January 2022 ",700000.0,375.00,1867.00
1721,السلى,91,"Wednesday, 5 January 2022 ",604500.0,390.00,1550.00
1722,السلى,92,"Tuesday, 4 January 2022 ",604500.0,390.00,1550.00
1723,السلى,عدد العقارات 2-أول ق…,"Sunday, 23 January 2022 ",1316000.0,750.00,1755.00
1724,السلى,566,"Monday, 24 January 2022 ",876000.0,600.00,1460.00
1725,السلى,143,"Wednesday, 5 January 2022 ",500000.0,420.00,1190.00
1726,السلى,144,"Wednesday, 5 January 2022 ",500000.0,405.00,1235.00
1727,السلى,183/1,"Wednesday, 19 January 2022 ",1114500.0,375.00,2972.00
1728,السلى,455,"Tuesday, 18 January 2022 ",150000.0,768.83,195.00
1729,السلى,21/1,"Monday, 24 January 2022 ",1100000.0,330.00,3333.00
1730,السلى,84,"Thursday, 27 January 2022 ",976701.0,887.91,1100.00
1731,السلى,85,"Thursday, 27 January 2022 ",975964.0,887.24,1100.00
1732,السليمانية,130/1,"Wednesday, 5 January 2022 ",2000000.0,300.00,6667.00
1733,السليمانية,130/2,"Wednesday, 5 January 2022 ",2000000.0,300.00,6667.00
1734,السليمانية,1373,"Thursday, 6 January 2022 ",1612000.0,520.00,3100.00
1735,السليمانية,313,"Tuesday, 11 January 2022 ",1000000.0,307.50,3252.00
1736,السليمانية,714و4678,"Monday, 10 January 2022 ",3000000.0,588.00,5102.00
1737,السليمانية,714و4678,"Monday, 10 January 2022 ",2000000.0,560.00,3571.00
1738,السليمانية,972,"Monday, 10 January 2022 ",4819500.0,945.00,5100.00
1739,السليمانية,188/8,"Wednesday, 12 January 2022 ",1837500.0,525.00,3500.00
1740,السليمانية,128,"Tuesday, 11 January 2022 ",6218950.0,2039.00,3050.00
1741,السليمانية,2/2/180,"Thursday, 20 January 2022 ",1750000.0,156.25,11200.00
1742,السليمانية,463/1,"Wednesday, 19 January 2022 ",4300000.0,1125.00,3822.00
1743,السليمانية,577/2,"Sunday, 9 January 2022 ",1000000.0,312.50,3200.00
1744,السليمانية,600,"Wednesday, 5 January 2022 ",12600000.0,1500.00,8400.00
1745,السليمانية,59,"Sunday, 30 January 2022 ",2475000.0,660.00,3750.00
1746,السليمانية,600,"Thursday, 27 January 2022 ",2460000.0,678.50,3626.00
1747,السليمانية,68,"Thursday, 6 January 2022 ",1550000.0,660.00,2348.00
1748,السليمانية,بدون,"Monday, 3 January 2022 ",3150000.0,491.51,6409.00
1749,السليمانية,بدون,"Wednesday, 5 January 2022 ",8000000.0,2464.74,3246.00
1750,السوق,302/1/1,"Tuesday, 11 January 2022 ",612500.0,250.00,2450.00
1751,السوق,302/1/2,"Tuesday, 11 January 2022 ",612500.0,250.00,2450.00
1752,السوق,304/1/1,"Tuesday, 11 January 2022 ",612500.0,250.00,2450.00
1753,السوق,304/1/2,"Tuesday, 11 January 2022 ",612500.0,250.00,2450.00
1754,السوق,306/1/1,"Monday, 10 January 2022 ",612500.0,250.00,2450.00
1755,السوق,306/1/2,"Monday, 10 January 2022 ",612500.0,250.00,2450.00
1756,السوق,308/1/1,"Monday, 10 January 2022 ",612500.0,250.00,2450.00
1757,السوق,308/1/2,"Monday, 10 January 2022 ",612500.0,250.00,2450.00
1758,السوق,310/312/1/1,"Monday, 10 January 2022 ",612500.0,250.00,2450.00
1759,السوق,310/312/1/2,"Monday, 10 January 2022 ",612500.0,250.00,2450.00
1760,السويدى,1082,"Wednesday, 5 January 2022 ",1008251.0,525.00,1920.00
1761,السويدى,1199,"Thursday, 13 January 2022 ",500000.0,460.00,1087.00
1762,السويدى,1327,"Wednesday, 19 January 2022 ",1000000.0,525.00,1905.00
1763,السويدى,1651,"Tuesday, 18 January 2022 ",970000.0,550.00,1764.00
1764,السويدى,137,"Sunday, 16 January 2022 ",800000.0,633.45,1263.00
1765,السويدى,1079,"Tuesday, 11 January 2022 ",750000.0,400.00,1875.00
1766,السويدى,343,"Monday, 31 January 2022 ",700000.0,500.00,1400.00
1767,السويدى,432,"Tuesday, 18 January 2022 ",1475000.0,625.00,2360.00
1768,السويدى,616,"Sunday, 16 January 2022 ",836876.0,625.00,1339.00
1769,السويدى,262,"Sunday, 9 January 2022 ",600000.0,401.85,1493.00
1770,السويدى,262,"Wednesday, 12 January 2022 ",354000.0,401.85,881.00
1771,السويدى,بدون,"Sunday, 9 January 2022 ",30000.0,52.00,577.00
1772,السويدى,بدون,"Wednesday, 12 January 2022 ",46000.0,52.00,885.00
1773,السويدى,2010,"Tuesday, 25 January 2022 ",1180000.0,600.00,1967.00
1774,السويدى,3400,"Monday, 31 January 2022 ",1600000.0,840.00,1905.00
1775,السويدى,5667,"Wednesday, 12 January 2022 ",750000.0,506.00,1482.00
1776,السويدى,6392,"Wednesday, 26 January 2022 ",700000.0,500.00,1400.00
1777,السويدى,5777,"Tuesday, 4 January 2022 ",720000.0,400.00,1800.00
1778,السويدى,1104,"Monday, 3 January 2022 ",1012695.0,550.00,1841.00
1779,السويدى,3030,"Sunday, 9 January 2022 ",1500000.0,775.00,1935.00
1780,السويدى,2630,"Monday, 31 January 2022 ",1000000.0,440.00,2273.00
1781,السويدى,1206,"Sunday, 2 January 2022 ",1350000.0,650.00,2077.00
1782,السويدى,293/1,"Thursday, 27 January 2022 ",800000.0,266.63,3000.00
1783,السويدى,عدد العقارات 2-أول ق…,"Thursday, 13 January 2022 ",1260000.0,900.00,1400.00
1784,السويدى,1599,"Sunday, 16 January 2022 ",1800000.0,900.00,2000.00
1785,السويدى,377/1,"Sunday, 23 January 2022 ",1000000.0,304.00,3289.00
1786,السويدى,255/1/2,"Wednesday, 19 January 2022 ",1100000.0,400.20,2749.00
1787,السويدى,15,"Wednesday, 12 January 2022 ",1000000.0,495.00,2020.00
1788,السويدى,220/1,"Monday, 17 January 2022 ",860000.0,288.48,2981.00
1789,السويدى,1552,"Monday, 10 January 2022 ",1500000.0,528.00,2841.00
1790,السويدى,195,"Thursday, 13 January 2022 ",630000.0,430.00,1465.00
1791,السويدى,بدون,"Monday, 10 January 2022 ",50000.0,171.00,292.00
1792,السويدى,بدون,"Monday, 10 January 2022 ",100000.0,153.56,651.00
1793,الشرفية,2/1/1,"Wednesday, 5 January 2022 ",610740.0,436.07,1401.00
1794,الشرفية,2/1/2,"Wednesday, 5 January 2022 ",602062.0,440.41,1367.00
1795,الشرق,326/4/2,"Wednesday, 19 January 2022 ",950000.0,525.04,1809.00
1796,الشرق,211/2,"Sunday, 23 January 2022 ",320000.0,450.00,711.00
1797,الشرق,211/2,"Sunday, 23 January 2022 ",550000.0,450.00,1222.00
1798,الشرق,12,"Wednesday, 19 January 2022 ",1618000.0,875.00,1849.00
1799,الشرق,208/1,"Monday, 10 January 2022 ",450000.0,913.00,493.00
1800,الشرق,768/1,"Monday, 10 January 2022 ",460000.0,975.00,472.00
1801,الشرق,768/2,"Monday, 31 January 2022 ",620000.0,975.00,636.00
1802,الشرق,162,"Monday, 24 January 2022 ",1000000.0,2000.00,500.00
1803,الشرق,162,"Thursday, 27 January 2022 ",1200000.0,2000.00,600.00
1804,الشرق,1705/1,"Monday, 17 January 2022 ",400000.0,450.00,889.00
1805,الشرق,1394/1,"Thursday, 6 January 2022 ",350000.0,450.00,778.00
1806,الشرق,384/1,"Thursday, 27 January 2022 ",390000.0,435.00,897.00
1807,الشرق,36/3,"Thursday, 20 January 2022 ",410000.0,520.00,788.00
1808,الشرق,1301/1,"Tuesday, 18 January 2022 ",400000.0,450.00,889.00
1809,الشرق,2004/2,"Thursday, 13 January 2022 ",400000.0,500.00,800.00
1810,الشرق,2350/1,"Thursday, 13 January 2022 ",250000.0,450.00,556.00
1811,الشرق,2350/1,"Tuesday, 25 January 2022 ",355000.0,450.00,789.00
1812,الشرق,764/1,"Wednesday, 19 January 2022 ",420000.0,672.00,625.00
1813,الشرق,765/1,"Sunday, 30 January 2022 ",400000.0,504.00,794.00
1814,الشرق,765/2,"Monday, 3 January 2022 ",320000.0,504.00,635.00
1815,الشرق,292/1,"Sunday, 9 January 2022 ",350000.0,1000.00,350.00
1816,الشرق,292/2,"Sunday, 9 January 2022 ",350000.0,1000.00,350.00
1817,الشعلة,139/1,"Thursday, 20 January 2022 ",200000.0,375.00,533.00
1818,الشعلة,139/1,"Monday, 24 January 2022 ",250000.0,375.00,667.00
1819,الشعيب,30/1,"Wednesday, 12 January 2022 ",434000.0,360.00,1206.00
1820,الشعيب,32/1,"Wednesday, 12 January 2022 ",434000.0,360.00,1206.00
1821,الشعيب,32/2,"Wednesday, 12 January 2022 ",434000.0,360.00,1206.00
1822,الشعيب,34/1,"Wednesday, 12 January 2022 ",434000.0,360.00,1206.00
1823,الشعيب,44,"Wednesday, 26 January 2022 ",1580000.0,325.00,4862.00
1824,الشعيب,45,"Thursday, 20 January 2022 ",536250.0,325.00,1650.00
1825,الشعيب,47,"Thursday, 20 January 2022 ",536250.0,325.00,1650.00
1826,الشعيب,48,"Wednesday, 5 January 2022 ",1425000.0,325.00,4385.00
1827,الشفاء,326,"Sunday, 23 January 2022 ",1052842.0,450.00,2340.00
1828,الشفاء,326,"Wednesday, 26 January 2022 ",550000.0,450.00,1222.00
1829,الشفاء,378,"Sunday, 30 January 2022 ",1000000.0,625.00,1600.00
1830,الشفاء,598,"Thursday, 20 January 2022 ",800000.0,575.00,1391.00
1831,الشفاء,519,"Sunday, 16 January 2022 ",255000.0,625.00,408.00
1832,الشفاء,210/1,"Sunday, 30 January 2022 ",550000.0,312.50,1760.00
1833,الشفاء,210/2,"Sunday, 30 January 2022 ",550000.0,312.50,1760.00
1834,الشفاء,69,"Wednesday, 12 January 2022 ",912000.0,795.63,1146.00
1835,الشفاء,عدد العقارات 2-أول ق…,"Thursday, 6 January 2022 ",1179435.0,1100.00,1072.00
1836,الشفاء,384,"Monday, 31 January 2022 ",1310000.0,750.00,1747.00
1837,الشفاء,232,"Monday, 31 January 2022 ",1200000.0,400.00,3000.00
1838,الشفاء,232/1,"Monday, 31 January 2022 ",1425000.0,475.00,3000.00
1839,الشفاء,578,"Tuesday, 25 January 2022 ",100000.0,875.00,114.00
1840,الشفاء,76,"Monday, 10 January 2022 ",525000.0,437.50,1200.00
1841,الشقة,839,"Monday, 3 January 2022 ",3075000.0,750.00,4100.00
1842,الشلهوب,686/1,"Thursday, 27 January 2022 ",630000.0,300.00,2100.00
1843,الشلهوب,686/2,"Thursday, 27 January 2022 ",585000.0,225.00,2600.00
1844,الشلهوب,686/3,"Thursday, 27 January 2022 ",585000.0,225.00,2600.00
1845,الشلهوب,687/1,"Thursday, 27 January 2022 ",630000.0,300.00,2100.00
1846,الشلهوب,687/2,"Thursday, 27 January 2022 ",585000.0,225.00,2600.00
1847,الشلهوب,687/3,"Thursday, 27 January 2022 ",585000.0,225.00,2600.00
1848,الشميسى,بدون,"Sunday, 16 January 2022 ",99000.0,78.46,1262.00
1849,الشميسى,بدون,"Thursday, 27 January 2022 ",40000.0,63.86,626.00
1850,الشهداء,882,"Tuesday, 18 January 2022 ",500000.0,750.00,667.00
1851,الصالحية,بدون,"Monday, 31 January 2022 ",170000.0,58.81,2891.00
1852,الصحافة,5639,"Wednesday, 5 January 2022 ",3855600.0,918.00,4200.00
1853,الصحافة,1138/1,"Tuesday, 25 January 2022 ",2100000.0,275.00,7636.00
1854,الصحافة,2004/1,"Monday, 3 January 2022 ",1350000.0,300.00,4500.00
1855,الصحافة,2800/1,"Tuesday, 11 January 2022 ",6250000.0,875.00,7143.00
1856,الصحافة,2801,"Tuesday, 11 January 2022 ",5250000.0,750.00,7000.00
1857,الصحافة,555/2,"Sunday, 9 January 2022 ",1529575.0,375.00,4079.00
1858,الصحافة,6003,"Wednesday, 12 January 2022 ",2746718.0,422.57,6500.00
1859,الصحافة,6115/1,"Wednesday, 12 January 2022 ",1450000.0,312.50,4640.00
1860,الصحافة,2352,"Sunday, 16 January 2022 ",10800000.0,900.00,12000.00
1861,الصحافة,2368,"Sunday, 16 January 2022 ",8505000.0,810.00,10500.00
1862,الصحافة,2398,"Wednesday, 19 January 2022 ",9450000.0,900.00,10500.00
1863,الصفاء,1502,"Tuesday, 25 January 2022 ",1248000.0,480.00,2600.00
1864,الصفاء,1503,"Wednesday, 26 January 2022 ",1248000.0,480.00,2600.00
1865,الصفاء,1504,"Tuesday, 25 January 2022 ",1040000.0,400.00,2600.00
1866,الصفاء,1505,"Wednesday, 26 January 2022 ",1040000.0,400.00,2600.00
1867,الصفاء,1506,"Tuesday, 25 January 2022 ",1040000.0,400.00,2600.00
1868,الصفاء,1507,"Tuesday, 25 January 2022 ",1040000.0,400.00,2600.00
1869,الصفاء,1508,"Wednesday, 26 January 2022 ",1040000.0,400.00,2600.00
1870,الصفاء,1509,"Tuesday, 25 January 2022 ",1040000.0,400.00,2600.00
1871,الصفاء,1603,"Sunday, 30 January 2022 ",1230000.0,400.00,3075.00
1872,الصفاء,1619,"Wednesday, 12 January 2022 ",1560000.0,480.00,3250.00
1873,الصفاء,1621,"Wednesday, 12 January 2022 ",1365000.0,420.00,3250.00
1874,الصفاء,1622,"Wednesday, 26 January 2022 ",1365000.0,420.00,3250.00
1875,الصفاء,1623,"Sunday, 23 January 2022 ",1162500.0,375.00,3100.00
1876,الصفاء,1629,"Sunday, 16 January 2022 ",2031250.0,625.00,3250.00
1877,الصفاء,1684,"Thursday, 20 January 2022 ",1430000.0,440.00,3250.00
1878,الصفاء,1685,"Monday, 24 January 2022 ",1430000.0,440.00,3250.00
1879,الصفاء,1686,"Wednesday, 19 January 2022 ",1495000.0,460.00,3250.00
1880,الصفاء,1687,"Wednesday, 19 January 2022 ",1495000.0,460.00,3250.00
1881,الصفاء,186,"Sunday, 2 January 2022 ",6271998.0,3920.00,1600.00
1882,الضباط,90,"Monday, 10 January 2022 ",750000.0,400.00,1875.00
1883,الضباط,17,"Thursday, 6 January 2022 ",825000.0,450.00,1833.00
1884,الضباط,بدون,"Thursday, 13 January 2022 ",1300000.0,450.00,2889.00
1885,العارض,1227/أ,"Saturday, 22 January 2022 ",4200000.0,1050.00,4000.00
1886,العارض,1866/أ,"Saturday, 22 January 2022 ",2660000.0,700.00,3800.00
1887,العارض,2654,"Saturday, 22 January 2022 ",2106000.0,540.00,3900.00
1888,العارض,2654,"Thursday, 27 January 2022 ",1890000.0,540.00,3500.00
1889,العارض,6569/أ/2,"Thursday, 13 January 2022 ",1296000.0,320.00,4050.00
1890,العارض,279/2,"Wednesday, 12 January 2022 ",772282.0,200.00,3861.00
1891,العارض,298/1,"Thursday, 20 January 2022 ",1720000.0,210.00,8190.00
1892,العارض,515/1/1,"Thursday, 27 January 2022 ",2440000.0,210.60,11586.00
1893,العارض,204/2,"Wednesday, 26 January 2022 ",2620000.0,290.00,9034.00
1894,العارض,207,"Wednesday, 19 January 2022 ",2233000.0,580.00,3850.00
1895,العارض,عدد العقارات 7-أول ق…,"Monday, 17 January 2022 ",19658600.0,4598.50,4275.00
1896,العارض,3/1/1,"Monday, 31 January 2022 ",1873800.0,520.50,3600.00
1897,العارض,156/3,"Sunday, 16 January 2022 ",1537200.0,504.00,3050.00
1898,العارض,59/1,"Sunday, 30 January 2022 ",1335384.0,392.76,3400.00
1899,العارض,148/1/1,"Monday, 31 January 2022 ",1302000.0,930.00,1400.00
1900,العارض,150/1/1,"Monday, 31 January 2022 ",869400.0,621.00,1400.00
1901,العريجاء,75/1,"Monday, 17 January 2022 ",900000.0,312.50,2880.00
1902,العريجاء,4322/1,"Tuesday, 11 January 2022 ",693750.0,375.00,1850.00
1903,العريجاء,4322/2,"Tuesday, 11 January 2022 ",693750.0,375.00,1850.00
1904,العريجاء,6434,"Sunday, 30 January 2022 ",1000000.0,750.00,1333.00
1905,العريجاء,1/313,"Saturday, 22 January 2022 ",700000.0,400.00,1750.00
1906,العريجاء,10/501,"Sunday, 30 January 2022 ",1614275.0,400.00,4036.00
1907,العريجاء,14/588,"Thursday, 27 January 2022 ",10939984.0,480.00,22792.00
1908,العريجاء,246/7,"Wednesday, 19 January 2022 ",1291910.0,400.00,3230.00
1909,العريجاء,4/661,"Tuesday, 11 January 2022 ",950000.0,400.00,2375.00
1910,العريجاء,575/10,"Tuesday, 25 January 2022 ",1200000.0,400.00,3000.00
1911,العريجاء,693/10,"Thursday, 13 January 2022 ",690000.0,400.00,1725.00
1912,العريجاء,739/5,"Monday, 31 January 2022 ",880938.0,484.00,1820.00
1913,العريجاء,8/254,"Thursday, 6 January 2022 ",680000.0,400.00,1700.00
1914,العريجاء,8/300,"Saturday, 8 January 2022 ",600000.0,400.00,1500.00
1915,العريجاء,8/441,"Wednesday, 19 January 2022 ",800000.0,400.00,2000.00
1916,العريجاء,بدون,"Sunday, 23 January 2022 ",50000.0,100.00,500.00
1917,العريجاء,317/2/1,"Thursday, 6 January 2022 ",900000.0,200.00,4500.00
1918,العريجاء,226/1,"Wednesday, 26 January 2022 ",281729.0,400.00,704.00
1919,العريجاء,1/50,"Tuesday, 25 January 2022 ",680000.0,400.00,1700.00
1920,العريجاء,2/68,"Thursday, 27 January 2022 ",850000.0,400.00,2125.00
1921,العريجاء,210/6,"Wednesday, 5 January 2022 ",720000.0,400.00,1800.00
1922,العريجاء,46/4,"Tuesday, 11 January 2022 ",450000.0,400.00,1125.00
1923,العريجاء,5/122,"Monday, 3 January 2022 ",750000.0,400.00,1875.00
1924,العريجاء,5/192,"Wednesday, 12 January 2022 ",740000.0,400.00,1850.00
1925,العريجاء,521/7,"Tuesday, 11 January 2022 ",450000.0,400.00,1125.00
1926,العريجاء,6/5,"Saturday, 8 January 2022 ",320000.0,400.00,800.00
1927,العريجاء,1/974,"Thursday, 20 January 2022 ",500000.0,400.00,1250.00
1928,العريجاء,1070/2,"Wednesday, 12 January 2022 ",500000.0,400.00,1250.00
1929,العريجاء,1137/2/2,"Monday, 24 January 2022 ",1045000.0,200.00,5225.00
1930,العريجاء,2/642,"Wednesday, 19 January 2022 ",520000.0,400.00,1300.00
1931,العريجاء,693/2,"Tuesday, 25 January 2022 ",685000.0,400.00,1713.00
1932,العريجاء,145/7,"Thursday, 27 January 2022 ",481250.0,400.00,1203.00
1933,العريجاء,415/3,"Monday, 10 January 2022 ",650000.0,400.00,1625.00
